Strike,Call Value,Put Value
1900,2101.904,0.335
2000,2002.778,0.422
2100,1903.665,0.521
2200,1804.569,0.637
2300,1705.493,0.774
2400,1606.446,0.940
2450,1556.937,1.037
2500,1507.440,1.146
2550,1457.957,1.270
2600,1408.492,1.410
2650,1359.046,1.571
2700,1309.622,1.753
2725,1284.919,1.853
2750,1260.223,1.960
2775,1235.534,2.074
2800,1210.852,2.196
2825,1186.179,2.325
2850,1161.513,2.463
2875,1136.857,2.610
2900,1112.210,2.766
2925,1087.573,2.932
2950,1062.947,3.109
2975,1038.331,3.297
3000,1013.728,3.497
3025,989.138,3.710
3050,964.563,3.938
3060,954.738,4.034
3070,944.916,4.133
3075,940.006,4.184
3080,935.096,4.235
3090,925.280,4.340
3100,915.467,4.448
3110,905.658,4.560
3120,895.852,4.675
3125,890.950,4.735
3130,886.050,4.795
3140,876.252,4.918
3150,866.458,5.045
3160,856.669,5.177
3170,846.884,5.314
3175,841.994,5.384
3180,837.105,5.456
3190,827.330,5.603
3200,817.561,5.755
3210,807.798,5.913
3220,798.041,6.077
3225,793.165,6.162
3230,788.290,6.248
3240,778.546,6.425
3250,768.809,6.609
3260,759.080,6.801
3270,749.359,7.001
3275,744.501,7.104
3280,739.645,7.209
3290,729.941,7.426
3300,720.246,7.652
3310,710.560,7.888
3320,700.885,8.134
3325,696.052,8.261
3330,691.221,8.391
3340,681.568,8.659
3350,671.927,8.940
3360,662.299,9.233
3370,652.684,9.539
3375,647.882,9.698
3380,643.084,9.860
3390,633.498,10.196
3400,623.928,10.547
3410,614.375,10.915
3420,604.839,11.300
3425,600.078,11.500
3430,595.322,11.704
3440,585.824,12.128
3450,576.347,12.572
3460,566.890,13.036
3470,557.456,13.524
3475,552.748,13.776
3480,548.045,14.034
3490,538.658,14.568
3500,529.297,15.128
3505,524.626,15.418
3510,519.961,15.714
3515,515.304,16.017
3520,510.654,16.327
3525,506.011,16.645
3530,501.375,16.970
3535,496.746,17.302
3540,492.126,17.642
3545,487.513,17.989
3550,482.908,18.345
3555,478.311,18.709
3560,473.722,19.081
3565,469.142,19.461
3570,464.570,19.850
3575,460.008,20.248
3580,455.454,20.655
3585,450.909,21.071
3590,446.374,21.497
3595,441.849,21.932
3600,437.333,22.376
3605,432.827,22.831
3610,428.331,23.296
3615,423.845,23.771
3620,419.370,24.256
3625,414.906,24.753
3630,410.452,25.260
3635,406.010,25.778
3640,401.578,26.307
3645,397.159,26.848
3650,392.750,27.400
3655,388.354,27.964
3660,383.969,28.540
3665,379.596,29.128
3670,375.236,29.729
3675,370.888,30.342
3680,366.553,30.967
3685,362.231,31.606
3690,357.922,32.257
3695,353.626,32.922
3700,349.344,33.600
3705,345.075,34.292
3710,340.820,34.997
3715,336.579,35.717
3720,332.352,36.451
3725,328.140,37.199
3730,323.942,37.962
3735,319.759,38.740
3740,315.591,39.533
3745,311.439,40.341
3750,307.301,41.164
3755,303.180,42.003
3760,299.074,42.857
3765,294.984,43.728
3770,290.910,44.615
3775,286.853,45.518
3780,282.812,46.438
3785,278.788,47.375
3790,274.781,48.328
3795,270.791,49.299
3800,266.819,50.288
3805,262.864,51.294
3810,258.927,52.317
3815,255.009,53.359
3820,251.108,54.420
3825,247.227,55.499
3830,243.364,56.597
3835,239.521,57.714
3840,235.697,58.851
3845,231.893,60.008
3850,228.109,61.184
3855,224.346,62.382
3860,220.603,63.599
3865,216.881,64.838
3870,213.181,66.098
3875,209.502,67.380
3880,205.845,68.684
3885,202.210,70.009
3890,198.598,71.358
3895,195.008,72.729
3900,191.442,74.123
3905,187.899,75.541
3910,184.380,76.982
3915,180.885,78.448
3920,177.414,79.938
3925,173.969,81.453
3930,170.550,82.995
3935,167.157,84.563
3940,163.791,86.157
3945,160.453,87.780
3950,157.144,89.431
3955,153.863,91.111
3960,150.613,92.821
3965,147.392,94.562
3970,144.203,96.333
3975,141.045,98.136
3980,137.920,99.971
3985,134.828,101.840
3990,131.769,103.742
3995,128.745,105.678
4000,125.756,107.650
4005,122.802,109.657
4010,119.885,111.700
4015,117.004,113.780
4020,114.161,115.898
4025,111.357,118.053
4030,108.590,120.247
4035,105.862,122.480
4040,103.173,124.752
4045,100.523,127.063
4050,97.913,129.413
4055,95.343,131.803
4060,92.812,134.233
4065,90.322,136.704
4070,87.872,139.215
4075,85.463,141.766
4080,83.094,144.358
4085,80.767,146.991
4090,78.480,149.665
4095,76.234,152.380
4100,74.030,155.136
4105,71.867,157.934
4110,69.745,160.772
4115,67.664,163.652
4120,65.625,166.573
4125,63.626,169.536
4130,61.669,172.539
4135,59.753,175.584
4140,57.878,178.669
4145,56.043,181.795
4150,54.250,184.962
4155,52.497,188.170
4160,50.784,191.417
4165,49.111,194.705
4170,47.478,198.033
4175,45.884,201.400
4180,44.330,204.807
4185,42.815,208.252
4190,41.339,211.736
4195,39.900,215.258
4200,38.500,218.819
4210,35.811,226.051
4220,33.269,233.431
4225,32.052,237.174
4230,30.870,240.953
4240,28.610,248.613
4250,26.484,256.409
4260,24.488,264.334
4270,22.617,272.385
4275,21.727,276.455
4280,20.867,280.556
4290,19.233,288.843
4300,17.709,297.240
4310,16.291,305.743
4320,14.973,314.347
4325,14.350,318.684
4330,13.750,323.045
4340,12.618,331.834
4350,11.572,340.709
4360,10.607,349.665
4370,9.718,358.698
4375,9.302,363.242
4380,8.902,367.803
4400,7.468,386.212
4425,6.005,409.552
4450,4.846,433.196
4475,3.930,457.083
4500,3.205,481.161
4525,2.628,505.388
4550,2.169,529.731
4575,1.803,554.168
4600,1.512,578.680
4625,1.280,603.252
4650,1.095,627.870
4675,0.947,652.525
4700,0.827,677.208
4725,0.728,701.913
4750,0.647,726.634
4775,0.579,751.369
4800,0.521,776.115
4825,0.471,800.868
4850,0.428,825.628
4875,0.389,850.392
4900,0.355,875.162
4925,0.325,899.935
4950,0.299,924.711
4975,0.275,949.490
5000,0.253,974.272
5025,0.234,999.056
5050,0.217,1023.842
5075,0.202,1048.630
5100,0.188,1073.419
5125,0.176,1098.210
5150,0.164,1123.002
5175,0.154,1147.795
5200,0.145,1172.589
5225,0.136,1197.383
5250,0.129,1222.179
5275,0.122,1246.975
5300,0.115,1271.771
5325,0.109,1296.569
5350,0.104,1321.366
